Technology	Year	Nameplate Capacity [kg/yr]	Maximum Utilization [kg/kg]	Production?	Lifetime [yr]	Scaling Exponent	Capital Cost [$]	Capital Cost [$/km]	Fixed Operating Cost [fraction of CapCost/y]	Fixed Operating Cost [$/km/yr]	Variable Operating Cost [$/kg]	Variable Operating Cost [$/km/kg]	Storage Technology
Central Grid Electrolysis (PEM)	2015	6.18E+03	1	Central	40	0	3.81E+06	0	0.066374562	0	0.029529848	0	No Storage
Central Grid Electrolysis (PEM)	2015	6.18E+05	1	Central	40	0	3.81E+06	0	0.066374562	0	0.029529848	0	No Storage
Central Grid Electrolysis (PEM)	2015	6.19E+05	1	Central	40	0.940422659	3.81E+06	0	0.066374562	0	0.029529848	0	No Storage
Central Grid Electrolysis (PEM)	2015	2.06E+07	1	Central	40	1	1.03E+08	0	0.067636717	0	0.024377436	0	No Storage
Central Grid Electrolysis (PEM)	2020	6.23E+03	1	Central	40	0	3.44E+06	0	0.066374562	0	0.029529848	0	No Storage
Central Grid Electrolysis (PEM)	2020	6.23E+05	1	Central	40	0	3.44E+06	0	0.066374562	0	0.029529848	0	No Storage
Central Grid Electrolysis (PEM)	2020	6.24E+05	1	Central	40	0.935643926	3.44E+06	0	0.065424111	0	0.029102935	0	No Storage
Central Grid Electrolysis (PEM)	2020	2.08E+07	1	Central	40	1	9.16E+07	0	0.067710075	0	0.023571243	0	No Storage
Central Grid Electrolysis (PEM)	2025	6.29E+03	1	Central	40	0	3.11E+06	0	0.066374562	0	0.029529848	0	No Storage
Central Grid Electrolysis (PEM)	2025	6.29E+05	1	Central	40	0	3.11E+06	0	0.066374562	0	0.029529848	0	No Storage
Central Grid Electrolysis (PEM)	2025	6.30E+05	1	Central	40	0.930865193	3.11E+06	0	0.06447366	0	0.029102935	0	No Storage
Central Grid Electrolysis (PEM)	2025	2.10E+07	1	Central	40	1	8.14E+07	0	0.067783434	0	0.023571243	0	No Storage
Central Grid Electrolysis (PEM)	2030	6.35E+03	1	Central	40	0	2.81E+06	0	0.066374562	0	0.029529848	0	No Storage
Central Grid Electrolysis (PEM)	2030	6.35E+05	1	Central	40	0	2.81E+06	0	0.066374562	0	0.029529848	0	No Storage
Central Grid Electrolysis (PEM)	2030	6.36E+05	1	Central	40	0.926086461	2.81E+06	0	0.063523209	0	0.029102935	0	No Storage
Central Grid Electrolysis (PEM)	2030	2.12E+07	1	Central	40	1	7.24E+07	0	0.067856792	0	0.023571243	0	No Storage
Central Grid Electrolysis (PEM)	2035	6.41E+03	1	Central	40	0	2.54E+06	0	0.066374562	0	0.029529848	0	No Storage
Central Grid Electrolysis (PEM)	2035	6.41E+05	1	Central	40	0	2.54E+06	0	0.066374562	0	0.029529848	0	No Storage
Central Grid Electrolysis (PEM)	2035	6.42E+05	1	Central	40	0.921307728	2.54E+06	0	0.062572759	0	0.029102935	0	No Storage
Central Grid Electrolysis (PEM)	2035	2.14E+07	1	Central	40	1	6.44E+07	0	0.067930151	0	0.023571243	0	No Storage
Central Grid Electrolysis (PEM)	2040	6.47E+03	1	Central	40	0	2.30E+06	0	0.066374562	0	0.029529848	0	No Storage
Central Grid Electrolysis (PEM)	2040	6.47E+05	1	Central	40	0	2.30E+06	0	0.066374562	0	0.029529848	0	No Storage
Central Grid Electrolysis (PEM)	2040	6.48E+05	1	Central	40	0.916528995	2.30E+06	0	0.061622308	0	0.028676023	0	No Storage
Central Grid Electrolysis (PEM)	2040	2.16E+07	1	Central	40	1	5.72E+07	0	0.068003509	0	0.02276505	0	No Storage
Central Grid Electrolysis (PEM)	2025	2.19E+04	1	Central	40	0	3.20E+07	0	0.066374562	0	0.029529848	0	No Storage
Central Natural Gas Reforming w/CCS	2025	2.19E+06	1	Central	40	0	3.20E+07	0	0.067891671	0	4.413173479	0	No Storage
Central Natural Gas Reforming w/CCS	2025	2.19E+06	1	Central	40	0.6	31974320.95	0	0.067891671	0	4.413173479	0	No Storage
Central Natural Gas Reforming w/CCS	2025	5.84E+06	1	Central	40	0.6	57594706.48	0	0.055199204	0	1.81082239	0	No Storage
Central Natural Gas Reforming w/CCS	2025	9.49E+06	1	Central	40	0.6	77071637.89	0	0.0503564	0	1.20359491	0	No Storage
Central Natural Gas Reforming w/CCS	2025	1.31E+07	1	Central	40	0.6	93689750.02	0	0.047541723	0	0.931323743	0	No Storage
Central Natural Gas Reforming w/CCS	2025	1.68E+07	1	Central	40	0.6	108533867.4	0	0.045623494	0	0.775291507	0	No Storage
Central Natural Gas Reforming w/CCS	2025	2.04E+07	1	Central	40	0.6	122130292.1	0	0.044198815	0	0.681297046	0	No Storage
Central Natural Gas Reforming w/CCS	2025	2.41E+07	1	Central	40	0.6	134783565.6	0	0.043081767	0	0.630574775	0	No Storage
Central Natural Gas Reforming w/CCS	2025	2.77E+07	1	Central	40	0.6	146689401	0	0.042172561	0	0.575569053	0	No Storage
Central Natural Gas Reforming w/CCS	2025	3.14E+07	1	Central	40	0.6	157982743.2	0	0.041411987	0	0.532330466	0	No Storage
Central Natural Gas Reforming w/CCS	2025	3.50E+07	1	Central	40	0.6	168761477.7	0	0.040762294	0	0.49787178	0	No Storage
Central Natural Gas Reforming w/CCS	2025	3.87E+07	1	Central	40	0.6	179099386.8	0	0.040198073	0	0.470593114	0	No Storage
Central Natural Gas Reforming w/CCS	2025	4.23E+07	1	Central	40	0.6	189053783.5	0	0.039701481	0	0.447588119	0	No Storage
Central Natural Gas Reforming w/CCS	2025	4.60E+07	1	Central	40	0.6	198670281.3	0	0.039259553	0	0.438331779	0	No Storage
Central Natural Gas Reforming w/CCS	2025	4.96E+07	1	Central	40	0.6	207985914.8	0	0.0388626	0	0.424685011	0	No Storage
Central Natural Gas Reforming w/CCS	2025	5.33E+07	1	Central	40	0.6	217031260.7	0	0.038503213	0	0.409178589	0	No Storage
Central Natural Gas Reforming w/CCS	2025	5.69E+07	1	Central	40	0.6	225831926.2	0	0.038175606	0	0.395400565	0	No Storage
Central Natural Gas Reforming w/CCS	2025	6.06E+07	1	Central	40	0.6	234409620.9	0	0.037875188	0	0.383905328	0	No Storage
Central Natural Gas Reforming w/CCS	2025	6.42E+07	1	Central	40	0.6	242782947.9	0	0.037598257	0	0.375551771	0	No Storage
Central Natural Gas Reforming w/CCS	2025	6.79E+07	1	Central	40	0.6	250967998	0	0.037341792	0	0.371584124	0	No Storage
Central Natural Gas Reforming w/CCS	2025	7.15E+07	1	Central	40	0.6	258978805	0	0.037103295	0	0.3645906	0	No Storage
Central Natural Gas Reforming w/CCS	2025	7.52E+07	1	Central	40	0.6	266827699.5	0	0.036880684	0	0.356263842	0	No Storage
Central Natural Gas Reforming w/CCS	2025	7.88E+07	1	Central	40	0.6	274525588	0	0.036672203	0	0.352444964	0	No Storage
Central Natural Gas Reforming w/CCS	2025	82490000	1	Central	40	0.6	282082174.8	0	0.03647636	0	0.349729008	0	No Storage
Central Natural Gas Reforming w/CCS	2025	86140000	1	Central	40	0.6	289506141.7	0	0.036291879	0	0.346956466	0	No Storage
Central Natural Gas Reforming w/CCS	2025	89790000	1	Central	40	0.6	296805294.7	0	0.03611766	0	0.344162622	0	No Storage
Central Natural Gas Reforming w/CCS	2025	93440000	1	Central	40	0.6	303986683.3	0	0.035952749	0	0.340264139	0	No Storage
Central Natural Gas Reforming w/CCS	2025	97090000	1	Central	40	0.6	311056701	0	0.035796312	0	0.334937868	0	No Storage
Central Natural Gas Reforming w/CCS	2025	100740000	1	Central	40	0.6	318021168.5	0	0.035647619	0	0.329611965	0	No Storage
Central Natural Gas Reforming w/CCS	2025	104390000	1	Central	40	0.6	324885403.4	0	0.035506027	0	0.327096813	0	No Storage
Central Natural Gas Reforming w/CCS	2025	108040000	1	Central	40	0.6	331654280.1	0	0.035370965	0	0.324826844	0	No Storage
Central Natural Gas Reforming w/CCS	2025	111690000	1	Central	40	0.6	338332280.1	0	0.035241927	0	0.322519538	0	No Storage
Central Natural Gas Reforming w/CCS	2025	115340000	1	Central	40	0.6	344923535.7	0	0.03511846	0	0.320002358	0	No Storage
Central Natural Gas Reforming w/CCS	2025	118990000	1	Central	40	0.6	351431867	0	0.035000157	0	0.317485413	0	No Storage
Central Natural Gas Reforming w/CCS	2025	122640000	1	Central	40	0.6	357860814.6	0	0.034886655	0	0.315227372	0	No Storage
Central Natural Gas Reforming w/CCS	2025	126290000	1	Central	40	0.6	364213667.4	0	0.034777624	0	0.315128029	0	No Storage
Central Natural Gas Reforming w/CCS	2025	129940000	1	Central	40	0.6	370493487.6	0	0.034672766	0	0.315028872	0	No Storage
Central Natural Gas Reforming w/CCS	2025	133590000	1	Central	40	0.6	376703131.9	0	0.034571811	0	0.314929887	0	No Storage
Central Natural Gas Reforming w/CCS	2025	137240000	1	Central	40	0.6	382845270.8	0	0.034474512	0	0.312630665	0	No Storage
Central Natural Gas Reforming w/CCS	2025	140890000	1	Central	40	0.6	388922404.9	0	0.034380646	0	0.309628025	0	No Storage
Central Natural Gas Reforming w/CCS	2025	144540000	1	Central	40	0.6	394936880.3	0	0.034290006	0	0.306625525	0	No Storage
Central Natural Gas Reforming w/CCS	2025	148190000	1	Central	40	1	400890901.6	0	0.034202405	0	0.30373953	0	No Storage
Central Natural Gas Reforming w/CCS	2040	2190000	1	Central	40	0.6	25603872.75	0	0.078752536	0	4.415915686	0	No Storage
Central Natural Gas Reforming w/CCS	2040	5840000	1	Central	40	0.6	46119745.22	0	0.062902082	0	1.813622865	0	No Storage
Central Natural Gas Reforming w/CCS	2040	9490000	1	Central	40	0.6	61716163.18	0	0.056854349	0	1.206416793	0	No Storage
Central Natural Gas Reforming w/CCS	2040	13140000	1	Central	40	0.6	75023342.68	0	0.053339358	0	0.934157816	0	No Storage
Central Natural Gas Reforming w/CCS	2040	16790000	1	Central	40	0.6	86909971.77	0	0.050943858	0	0.778133769	0	No Storage
Central Natural Gas Reforming w/CCS	2040	20440000	1	Central	40	0.6	97797493.92	0	0.049164708	0	0.684145325	0	No Storage
Central Natural Gas Reforming w/CCS	2040	24090000	1	Central	40	0.6	107929774.9	0	0.047769729	0	0.633427727	0	No Storage
Central Natural Gas Reforming w/CCS	2040	27740000	1	Central	40	0.6	117463534.6	0	0.046634305	0	0.578425781	0	No Storage
Central Natural Gas Reforming w/CCS	2040	31390000	1	Central	40	0.6	126506832.1	0	0.045684494	0	0.535190331	0	No Storage
Central Natural Gas Reforming w/CCS	2040	35040000	1	Central	40	0.6	135138050.6	0	0.044873153	0	0.500734309	0	No Storage
Central Natural Gas Reforming w/CCS	2040	38690000	1	Central	40	0.6	143416272	0	0.044168549	0	0.473457945	0	No Storage
Central Natural Gas Reforming w/CCS	2040	42340000	1	Central	40	0.6	151387390.6	0	0.043548401	0	0.450454966	0	No Storage
Central Natural Gas Reforming w/CCS	2040	45990000	1	Central	40	0.6	159087932.2	0	0.042996517	0	0.441200413	0	No Storage
Central Natural Gas Reforming w/CCS	2040	49640000	1	Central	40	0.6	166547552.5	0	0.0425008	0	0.427555244	0	No Storage
Central Natural Gas Reforming w/CCS	2040	53290000	1	Central	40	0.6	173790736.4	0	0.042051994	0	0.412050263	0	No Storage
Central Natural Gas Reforming w/CCS	2040	56940000	1	Central	40	0.6	180837989	0	0.041642876	0	0.398273549	0	No Storage
Central Natural Gas Reforming w/CCS	2040	60590000	1	Central	40	0.6	187706694.9	0	0.041267712	0	0.386779509	0	No Storage
Central Natural Gas Reforming w/CCS	2040	64240000	1	Central	40	0.6	194411750.4	0	0.040921878	0	0.378427052	0	No Storage
Central Natural Gas Reforming w/CCS	2040	67890000	1	Central	40	0.6	200966040.7	0	0.040601602	0	0.374460422	0	No Storage
Central Natural Gas Reforming w/CCS	2040	71540000	1	Central	40	0.6	207380803.4	0	0.040303766	0	0.36746784	0	No Storage
Central Natural Gas Reforming w/CCS	2040	75190000	1	Central	40	0.6	213665912.6	0	0.040025767	0	0.359141959	0	No Storage
Central Natural Gas Reforming w/CCS	2040	78840000	1	Central	40	0.6	219830101.6	0	0.039765414	0	0.355323901	0	No Storage
Central Natural Gas Reforming w/CCS	2040	82490000	1	Central	40	0.6	225881141.3	0	0.039520844	0	0.352608714	0	No Storage
Central Natural Gas Reforming w/CCS	2040	86140000	1	Central	40	0.6	231825983.9	0	0.039290463	0	0.349836893	0	No Storage
Central Natural Gas Reforming w/CCS	2040	89790000	1	Central	40	0.6	237670880	0	0.039072897	0	0.34704373	0	No Storage
Central Natural Gas Reforming w/CCS	2040	93440000	1	Central	40	0.6	243421474.6	0	0.038866954	0	0.34314589	0	No Storage
Central Natural Gas Reforming w/CCS	2040	97090000	1	Central	40	0.6	249082887.6	0	0.038671594	0	0.337820227	0	No Storage
Central Natural Gas Reforming w/CCS	2040	100740000	1	Central	40	0.6	254659779.7	0	0.038485906	0	0.332494902	0	No Storage
Central Natural Gas Reforming w/CCS	2040	104390000	1	Central	40	0.6	260156409.3	0	0.038309084	0	0.329980298	0	No Storage
Central Natural Gas Reforming w/CCS	2040	108040000	1	Central	40	0.6	265576679.4	0	0.038140418	0	0.327710852	0	No Storage
Central Natural Gas Reforming w/CCS	2040	111690000	1	Central	40	0.6	270924178.9	0	0.037979274	0	0.325404044	0	No Storage
Central Natural Gas Reforming w/CCS	2040	115340000	1	Central	40	0.6	276202216.5	0	0.037825087	0	0.32288734	0	No Storage
Central Natural Gas Reforming w/CCS	2040	118990000	1	Central	40	0.6	281413851.4	0	0.03767735	0	0.320370851	0	No Storage
Central Natural Gas Reforming w/CCS	2040	122640000	1	Central	40	0.6	286561918.6	0	0.037535608	0	0.318113246	0	No Storage
Central Natural Gas Reforming w/CCS	2040	126290000	1	Central	40	0.6	291649052	0	0.037399449	0	0.318014322	0	No Storage
Central Natural Gas Reforming w/CCS	2040	129940000	1	Central	40	0.6	296677703.5	0	0.037268501	0	0.317915566	0	No Storage
Central Natural Gas Reforming w/CCS	2040	133590000	1	Central	40	0.6	301650160.8	0	0.037142428	0	0.317816968	0	No Storage
Central Natural Gas Reforming w/CCS	2040	137240000	1	Central	40	0.6	306568562	0	0.03702092	0	0.315518118	0	No Storage
Central Natural Gas Reforming w/CCS	2040	140890000	1	Central	40	0.6	311434909.9	0	0.036903699	0	0.312515836	0	No Storage
Central Natural Gas Reforming w/CCS	2040	144540000	1	Central	40	0.6	316251083	0	0.036790507	0	0.309513681	0	No Storage
Central Natural Gas Reforming w/CCS	2040	148190000	1	Central	40	1	321018846.6	0	0.03668111	0	0.30662802	0	No Storage
Onsite Electrolysis (PEM)	2015	618675	1	Onsite	20	0.865377439	5000000	0	0.052340478	0	0.620714273	0	No Storage
Onsite Electrolysis (PEM)	2040	647692.5	1	Onsite	20	0.913338422	2290614.273	0	0.053339862	0	0.63736751	0	No Storage
Central Natural Gas Reforming w/CCS	2025	2.19E+05	1	Central	40	2	31974320.95	0	0.067891671	0	4.413173479	0	No Storage
Central Natural Gas Reforming w/CCS	2025	2.19E+04	1	Central	40	2	31974320.95	0	0.067891671	0	4.413173479	0	No Storage
Central Natural Gas Reforming w/CCS	2025	2.19E+03	1	Central	40	2	31974320.95	0	0.067891671	0	4.413173479	0	No Storage
Central Natural Gas Reforming w/CCS	2025	2.19E+02	1	Central	40	2	31974320.95	0	0.067891671	0	4.413173479	0	No Storage
Central Natural Gas Reforming w/CCS	2040	2.19E+05	1	Central	40	2	31974320.95	0	0.067891671	0	4.413173479	0	No Storage
Central Natural Gas Reforming w/CCS	2040	2.19E+04	1	Central	40	2	31974320.95	0	0.067891671	0	4.413173479	0	No Storage
Central Natural Gas Reforming w/CCS	2040	2.19E+03	1	Central	40	2	31974320.95	0	0.067891671	0	4.413173479	0	No Storage
Central Natural Gas Reforming w/CCS	2040	2.19E+02	1	Central	40	2	31974320.95	0	0.067891671	0	4.413173479	0	No Storage